# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=429555704
# chain_id=1
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.3299,0.915548,0.724492,1,3,0,31.843,0.0837374
-30.9835,0.816874,0.956577,1,3,0,31.5278,-0.257496
-30.2838,0.985422,1.0131,1,3,0,31.0718,0.0405414
-30.7847,0.743743,1.55008,1,1,0,30.8072,0.23483
-30.706,1,1.3952,1,1,0,30.9524,0.216685
-30.706,1.14773e-007,2.18792,1,1,0,32.4319,0.216685
-30.4558,0.999993,0.397628,4,15,0,30.7013,-0.126062
-30.5242,0.993456,0.624671,1,1,0,30.5255,-0.149385
-31.0216,0.964252,0.962869,2,3,0,31.0226,-0.264568
-31.5108,0.792934,1.38855,1,1,0,31.8546,-0.342795
-30.3788,1,1.391,1,1,0,31.0105,-0.0936145
-30.2914,1,2.14856,1,1,0,30.2967,0.0508359
-30.2914,8.63759e-009,3.30314,1,1,0,30.6841,0.0508359
-30.2892,0.999825,0.638122,3,7,0,30.3003,-0.0305214
-30.2815,1,0.98235,2,3,0,30.2879,-0.0189493
-30.6011,0.836707,1.50595,1,1,0,30.6117,-0.172029
-30.6011,0.640425,1.64784,1,3,0,31.0884,-0.172029
-30.6396,0.995402,1.20996,2,3,0,30.7523,-0.18239
-30.6396,0.000129348,1.82358,1,1,0,33.3507,-0.18239
-30.2741,0.999265,0.37126,3,9,0,30.7015,0.00253966
-30.2897,0.996492,0.564794,2,5,0,30.3405,0.0487398
-30.2846,1,0.850925,2,3,0,30.2895,0.0418236
-30.5146,0.76951,1.28573,2,3,0,31.0615,-0.146312
-30.64,0.954476,1.22916,1,1,0,30.7156,-0.182478
-30.64,0.4503,1.68891,1,1,0,31.4101,-0.182478
-30.3071,0.99991,0.865562,2,7,0,30.5817,0.066605
-30.4849,0.491458,1.29706,2,3,0,32.4083,0.154126
-30.4104,1,0.72502,1,1,0,30.4769,0.125696
-30.3313,1,1.08335,1,1,0,30.3936,0.084658
-30.3389,0.995112,1.61278,1,1,0,30.3768,0.0895485
-30.3389,2.53707e-006,2.37004,1,1,0,32.5738,0.0895485
-30.2756,0.995129,0.525337,1,3,0,30.4509,0.0224001
-30.3506,0.992685,0.773139,2,3,0,30.3523,0.0964939
-30.3506,0.682005,1.1287,1,3,0,31.4446,0.0964939
-30.3506,0.623952,0.917887,1,3,0,32.9861,0.0964939
-30.8012,0.931239,0.671025,2,3,0,31.2056,0.238444
-30.7305,0.999936,0.87013,2,7,0,30.7909,-0.20483
-30.5504,1,1.2782,2,3,0,30.6968,0.175141
-30.5504,0.404108,1.87171,1,1,0,30.7233,0.175141
-30.286,0.978887,0.916318,1,3,0,30.7088,-0.0261665
-30.286,0.716777,1.28862,1,3,0,31.0781,-0.0261665
-30.3157,0.996717,1.12201,2,3,0,30.3166,-0.0559061
-30.5651,0.814741,1.62363,2,3,0,30.628,0.179487
-30.5651,0.122696,1.68705,1,1,0,31.4761,0.179487
